example_id                                                                   | status | run_time        |
./spec/components/project_submissions/like_component_spec.rb[1:2:1]          | passed | 0.28264 seconds |
./spec/components/project_submissions/like_component_spec.rb[1:2:2]          | passed | 0.23951 seconds |
./spec/components/project_submissions/like_component_spec.rb[1:3:1]          | passed | 0.2165 seconds  |
./spec/components/project_submissions/user_solution_component_spec.rb[1:1:1] | passed | 0.57928 seconds |
./spec/components/project_submissions/user_solution_component_spec.rb[1:2:1] | passed | 0.02966 seconds |
./spec/components/sections/lesson_component_spec.rb[1:1:1]                   | passed | 0.16817 seconds |
./spec/components/sections/lesson_component_spec.rb[1:2:1]                   | passed | 0.13968 seconds |
./spec/components/team/former_member_component_spec.rb[1:1]                  | passed | 0.00156 seconds |
./spec/components/team/former_member_component_spec.rb[1:2]                  | passed | 0.00266 seconds |
./spec/components/team/former_member_component_spec.rb[1:3]                  | passed | 0.00166 seconds |
./spec/components/team/member_component_spec.rb[1:1]                         | passed | 0.01037 seconds |
./spec/components/team/member_component_spec.rb[1:2]                         | passed | 0.09457 seconds |
./spec/components/team/member_component_spec.rb[1:3]                         | passed | 0.01282 seconds |
./spec/components/team/member_component_spec.rb[1:4]                         | passed | 0.01176 seconds |
./spec/components/team/member_component_spec.rb[1:5:1]                       | passed | 0.00571 seconds |
./spec/components/team/navigation_component_spec.rb[1:1]                     | passed | 0.02594 seconds |
./spec/components/theme/switcher_component_spec.rb[1:1:1]                    | passed | 0.12436 seconds |
./spec/components/theme/switcher_component_spec.rb[1:2:1]                    | passed | 0.04225 seconds |
./spec/components/user/avatar_component_spec.rb[1:1:1]                       | passed | 0.23892 seconds |
./spec/components/user/avatar_component_spec.rb[1:2:1]                       | passed | 0.09291 seconds |
./spec/components/user/learning_goal_component_spec.rb[1:1:1]                | passed | 0.01599 seconds |
./spec/components/user/learning_goal_component_spec.rb[1:2:1]                | passed | 0.01583 seconds |
./spec/factory_bot_spec.rb[1:1]                                              | passed | 11.3 seconds    |
./spec/helpers/announcement_helper_spec.rb[1:1:1]                            | passed | 0.00936 seconds |
./spec/helpers/application_helper_spec.rb[1:1:1]                             | passed | 0.00649 seconds |
./spec/helpers/application_helper_spec.rb[1:1:2:1]                           | passed | 0.01662 seconds |
./spec/helpers/application_helper_spec.rb[1:2:1:1]                           | passed | 0.00585 seconds |
./spec/helpers/application_helper_spec.rb[1:2:2:1]                           | passed | 0.00754 seconds |
./spec/helpers/application_helper_spec.rb[1:2:3:1]                           | passed | 0.00831 seconds |
./spec/helpers/application_helper_spec.rb[1:3:1:1]                           | passed | 0.00856 seconds |
./spec/helpers/application_helper_spec.rb[1:3:2:1]                           | passed | 0.01679 seconds |
./spec/helpers/application_helper_spec.rb[1:4:1]                             | passed | 0.00887 seconds |
./spec/helpers/application_helper_spec.rb[1:5:1:1]                           | passed | 0.34768 seconds |
./spec/helpers/application_helper_spec.rb[1:5:2:1]                           | passed | 0.10681 seconds |
./spec/helpers/button_helper_spec.rb[1:1:1]                                  | passed | 0.0112 seconds  |
./spec/helpers/button_helper_spec.rb[1:2:1]                                  | passed | 0.01202 seconds |
./spec/helpers/button_helper_spec.rb[1:3:1]                                  | passed | 0.00776 seconds |
./spec/helpers/button_helper_spec.rb[1:4:1]                                  | passed | 0.01811 seconds |
./spec/helpers/lessons_helper_spec.rb[1:1:1]                                 | passed | 0.27554 seconds |
./spec/helpers/lessons_helper_spec.rb[1:2:1]                                 | passed | 0.23936 seconds |
./spec/helpers/lessons_helper_spec.rb[1:3:1]                                 | passed | 0.24986 seconds |
./spec/helpers/qr_code_helper_spec.rb[1:1:1]                                 | passed | 0.06374 seconds |
./spec/jobs/destroy_expired_lesson_previews_job_spec.rb[1:1:1:1]             | passed | 0.50223 seconds |
./spec/jobs/destroy_expired_lesson_previews_job_spec.rb[1:1:1:2]             | passed | 0.03505 seconds |
./spec/jobs/discard_project_submission_job_spec.rb[1:1:1:1]                  | passed | 0.27043 seconds |
./spec/jobs/lessons/import_all_content_job_spec.rb[1:1:1]                    | passed | 0.03808 seconds |
./spec/jobs/lessons/update_content_job_spec.rb[1:1:1]                        | passed | 0.67869 seconds |
./spec/jobs/refresh_materialized_views_job_spec.rb[1:1:1]                    | passed | 0.00688 seconds |
./spec/jobs/refresh_materialized_views_job_spec.rb[1:1:2]                    | passed | 0.00995 seconds |
./spec/jobs/refresh_materialized_views_job_spec.rb[1:1:3]                    | passed | 0.13622 seconds |
./spec/lib/kramdown/content_section_spec.rb[1:1:1]                           | passed | 0.0023 seconds  |
./spec/lib/kramdown/content_section_spec.rb[1:1:2:1]                         | passed | 0.00204 seconds |
./spec/lib/kramdown/content_section_spec.rb[1:2:1]                           | passed | 0.00173 seconds |
./spec/lib/kramdown/content_section_spec.rb[1:2:2:1]                         | passed | 0.00174 seconds |
./spec/lib/kramdown/content_section_spec.rb[1:3:1]                           | passed | 0.00186 seconds |
./spec/lib/kramdown/content_section_spec.rb[1:3:2:1]                         | passed | 0.00194 seconds |
./spec/lib/kramdown/content_section_spec.rb[1:4:1:1]                         | passed | 0.0498 seconds  |
./spec/lib/kramdown/content_section_spec.rb[1:4:2:1]                         | passed | 0.00184 seconds |
./spec/lib/kramdown/document_sections_spec.rb[1:1:1:1]                       | passed | 0.00895 seconds |
./spec/lib/kramdown/document_sections_spec.rb[1:1:1:2]                       | passed | 0.00749 seconds |
./spec/lib/kramdown/document_sections_spec.rb[1:1:2:1]                       | passed | 0.01498 seconds |
./spec/lib/kramdown/document_sections_spec.rb[1:1:3:1]                       | passed | 0.01745 seconds |
./spec/lib/seeds/course_builder_spec.rb[1:1:1]                               | passed | 0.07524 seconds |
./spec/lib/seeds/course_builder_spec.rb[1:1:2]                               | passed | 0.09304 seconds |
./spec/lib/seeds/course_builder_spec.rb[1:1:3]                               | passed | 0.17252 seconds |
./spec/lib/seeds/course_builder_spec.rb[1:1:4]                               | passed | 0.05361 seconds |
./spec/lib/seeds/course_builder_spec.rb[1:1:5:1]                             | passed | 0.14778 seconds |
./spec/lib/seeds/course_builder_spec.rb[1:2:1]                               | passed | 0.22684 seconds |
./spec/lib/seeds/course_builder_spec.rb[1:2:2:1]                             | passed | 0.08956 seconds |
./spec/lib/seeds/course_builder_spec.rb[1:3:1]                               | passed | 0.3723 seconds  |
./spec/lib/seeds/course_builder_spec.rb[1:3:2]                               | passed | 0.9832 seconds  |
./spec/lib/seeds/lesson_builder_spec.rb[1:1:1]                               | passed | 0.20236 seconds |
./spec/lib/seeds/lesson_builder_spec.rb[1:1:2]                               | passed | 0.15199 seconds |
./spec/lib/seeds/lesson_builder_spec.rb[1:1:3]                               | passed | 0.14332 seconds |
./spec/lib/seeds/lesson_builder_spec.rb[1:1:4]                               | passed | 0.20607 seconds |
./spec/lib/seeds/lesson_builder_spec.rb[1:1:5]                               | passed | 0.227 seconds   |
./spec/lib/seeds/lesson_builder_spec.rb[1:1:6]                               | passed | 0.14291 seconds |
